Name,Location,Year,Kilometers_Driven,Owner_Type,Engine,Power,Seats,Price_Lakhs,Mileage_kmpl,Mileage_kmkg,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Current_Age,Price_Per_Year
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,2143.0,167.62,5.0,28.0,14.84,13.0,False,False,False,11,2.5454545454545454
BMW 3 Series 320d,Kochi,2014,32982,First,1995.0,190.0,5.0,18.55,22.69,13.0,False,False,False,11,1.6863636363636365
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,1248.0,88.5,5.0,8.25,23.65,13.0,False,False,True,10,0.825
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,1984.0,177.01,5.0,23.5,13.53,13.0,False,True,False,10,2.35
Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,1197.0,80.0,5.0,1.87,18.5,13.0,False,True,True,15,0.12466666666666668
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,1598.0,103.6,5.0,2.85,14.4,13.0,False,True,False,15,0.19
Honda City Corporate Edition,Mumbai,2012,51920,First,1497.0,116.3,5.0,4.25,16.8,13.0,False,True,True,13,0.3269230769230769
Nissan Micra Diesel XV,Hyderabad,2012,54000,First,1461.0,63.1,5.0,4.25,18.19,16.48,False,False,True,13,0.3269230769230769
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,998.0,67.1,5.0,2.75,20.92,13.0,False,True,True,12,0.22916666666666666
Honda WRV i-VTEC VX,Kochi,2018,37430,First,1199.0,88.7,5.0,9.9,17.5,13.0,False,True,True,7,1.4142857142857144
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,2494.0,102.0,7.0,4.0,12.8,13.0,False,False,True,18,0.2222222222222222
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,1461.0,108.45,5.0,7.75,19.01,13.0,False,False,True,12,0.6458333333333334
Toyota Corolla Altis G,Delhi,2012,87615,First,1798.0,138.1,5.0,6.75,14.53,13.0,False,True,True,13,0.5192307692307693
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,2696.0,184.0,7.0,12.5,11.18,13.0,False,False,False,12,1.0416666666666667
Audi A6 2.7 TDI,Kolkata,2010,35000,First,2698.0,179.5,5.0,11.5,12.4,13.0,False,False,False,15,0.7666666666666667
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,1598.0,103.5,5.0,6.98,16.09,13.0,False,True,True,11,0.6345454545454546
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,1061.0,64.0,5.0,1.85,14.0,13.0,False,True,True,16,0.115625
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,1248.0,88.5,5.0,8.63,24.3,13.0,False,False,True,7,1.2328571428571429
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,1198.0,82.0,5.0,4.85,18.15,13.0,False,True,True,8,0.60625
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,2987.0,254.8,5.0,28.0,11.74,13.0,False,False,False,12,2.3333333333333335
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,1199.0,73.9,5.0,5.0,22.07,13.0,False,False,True,12,0.4166666666666667
Maruti Alto LXi,Delhi,2008,90000,Second,796.0,46.3,5.0,1.25,19.7,13.0,False,True,True,17,0.07352941176470588
Tata Nano LX SE,Kochi,2014,19698,First,624.0,37.5,4.0,1.53,25.4,13.0,False,True,True,11,0.1390909090909091
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,1198.0,77.0,6.0,5.58,25.32,13.0,False,False,True,8,0.6975
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,1197.0,82.9,5.0,4.74,18.5,13.0,False,True,True,11,0.4309090909090909
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,1999.0,149.92,5.0,8.85,14.62,13.0,False,True,False,11,0.8045454545454546
Toyota Corolla Altis G AT,Mumbai,2016,52001,First,1798.0,138.03,5.0,10.11,14.28,13.0,False,True,False,9,1.1233333333333333
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,1991.0,112.2,5.0,4.25,14.9,13.0,False,False,True,17,0.25
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,2694.0,163.7,7.0,10.95,11.25,13.0,False,True,True,13,0.8423076923076922
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,1120.0,71.0,5.0,3.85,24.4,13.0,False,False,True,11,0.35000000000000003
Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,2498.0,105.0,6.0,5.5,16.55,13.0,False,False,True,13,0.4230769230769231
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,1968.0,174.33,5.0,21.43,17.11,13.0,False,False,False,10,2.143
Maruti Swift LDI,Delhi,2014,52000,First,1248.0,74.0,5.0,4.25,22.9,13.0,False,False,True,11,0.38636363636363635
Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,1248.0,75.0,5.0,3.3,17.8,13.0,False,False,True,11,0.3
Maruti Swift VDI,Delhi,2013,65650,First,1248.0,74.0,5.0,3.85,28.4,13.0,False,False,True,12,0.32083333333333336
Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,1197.0,82.0,5.0,3.6,18.9,13.0,False,True,True,10,0.36
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,1598.0,103.2,5.0,3.99,15.04,13.0,False,True,True,10,0.399
Renault KWID RXT,Kochi,2017,16542,First,799.0,53.3,5.0,3.3,25.17,13.0,False,True,True,8,0.4125
Hyundai i10 Asta,Kolkata,2010,32000,First,1197.0,78.9,5.0,2.07,20.36,13.0,False,True,True,15,0.13799999999999998
Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,1995.0,147.6,5.0,7.75,18.19,9.49,False,False,False,15,0.5166666666666667
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,998.0,67.1,5.0,2.25,18.2,13.0,False,True,True,15,0.15
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,2393.0,147.8,8.0,16.5,13.68,13.0,False,False,True,8,2.0625
Ford Figo Diesel Titanium,Bangalore,2010,72000,First,1399.0,68.0,5.0,2.75,20.0,13.0,False,False,True,15,0.18333333333333332
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,1796.0,186.0,5.0,26.7,11.74,13.0,False,True,False,10,2.67
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,2148.0,170.0,5.0,10.0,15.8,13.0,False,False,True,14,0.7142857142857143
Tata Indica V2 eLS,Chennai,2016,178000,First,1396.0,69.0,5.0,2.5,25.0,13.0,False,False,True,9,0.2777777777777778
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,1968.0,140.0,5.0,13.5,16.55,13.0,False,False,False,13,1.0384615384615385
Honda City ZX CVT,Mumbai,2007,63000,Second,1497.0,78.0,5.0,1.85,16.4,13.0,False,True,False,18,0.10277777777777779
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,1950.0,194.0,5.0,35.67,0.0,13.0,False,False,False,6,5.945
Maruti Ertiga SHVS VDI,Pune,2016,63000,First,1248.0,88.5,7.0,8.15,24.52,13.0,False,False,True,9,0.9055555555555556
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,1396.0,88.7,5.0,10.5,22.1,13.0,False,False,True,7,1.5
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,4806.0,500.0,5.0,14.5,8.5,13.0,False,True,False,17,0.8529411764705882
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,2179.0,140.0,7.0,9.65,15.1,13.0,False,False,True,10,0.9650000000000001
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,1197.0,78.9,5.0,3.48,16.95,13.0,False,True,False,13,0.2676923076923077
Nissan Terrano XV D Pre,Kochi,2015,56066,First,1461.0,108.5,5.0,6.92,19.64,13.0,False,False,True,10,0.692
Honda Brio VX AT,Coimbatore,2016,37300,Second,1198.0,86.8,5.0,6.46,16.5,13.0,False,True,False,9,0.7177777777777777
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,1968.0,187.74,5.0,29.5,18.53,13.0,False,False,False,11,2.6818181818181817
Toyota Innova 2.0 G1,Chennai,2006,230000,Third,1998.0,132.0,8.0,4.5,12.4,13.0,False,True,True,19,0.23684210526315788
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,2494.0,102.0,7.0,11.75,12.8,13.0,False,False,True,13,0.9038461538461539
Maruti Swift VDI,Jaipur,2012,95100,First,1248.0,74.0,5.0,3.75,22.9,13.0,False,False,True,13,0.28846153846153844
Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,1193.0,88.7,5.0,4.5,17.57,13.0,False,True,True,8,0.5625
Honda Amaze SX i-VTEC,Kochi,2016,54944,First,1198.0,86.7,5.0,4.82,18.0,13.0,False,True,True,9,0.5355555555555556
Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,1399.0,68.0,5.0,2.8,20.0,13.0,False,False,True,13,0.21538461538461537
Maruti Ritz VDi,Jaipur,2013,99638,First,1248.0,73.94,5.0,3.11,23.2,13.0,False,False,True,12,0.25916666666666666
Honda City i VTEC E,Delhi,2009,52000,First,1497.0,117.3,5.0,3.25,17.8,13.0,False,True,True,16,0.203125
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,1995.0,218.0,5.0,13.9,16.73,13.0,False,False,False,14,0.9928571428571429
Hyundai i10 Sportz 1.2,Pune,2009,95980,First,1197.0,78.9,5.0,2.25,20.36,13.0,False,True,True,16,0.140625
Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,1197.0,82.0,5.0,5.75,18.9,13.0,False,True,True,9,0.6388888888888888
Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,1198.0,86.7,5.0,5.0,17.8,13.0,False,True,True,9,0.5555555555555556
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,2982.0,168.5,7.0,16.5,13.0,13.0,False,False,True,11,1.5
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,1968.0,174.33,5.0,39.58,17.68,13.0,False,False,False,7,5.654285714285714
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,1498.0,89.84,5.0,5.5,22.7,13.0,False,False,True,12,0.4583333333333333
Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,2179.0,140.0,7.0,8.1,15.1,13.0,False,False,True,11,0.7363636363636363
Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,1498.0,98.6,5.0,3.5,25.8,13.0,False,False,True,10,0.35
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,1199.0,73.9,5.0,2.79,22.07,13.0,False,False,True,12,0.2325
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,1493.0,110.0,5.0,3.45,16.2,13.0,False,False,True,15,0.23
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,998.0,67.1,5.0,4.45,18.9,13.0,False,True,True,9,0.49444444444444446
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,1598.0,103.5,5.0,2.65,15.26,13.0,False,True,True,15,0.17666666666666667
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,1396.0,90.0,5.0,3.8,23.0,13.0,False,False,True,14,0.2714285714285714
Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,1197.0,82.85,5.0,4.65,18.5,13.0,False,True,True,11,0.4227272727272728
Datsun GO Plus T Petrol,Pune,2017,32851,First,1198.0,67.0,7.0,3.95,19.83,13.0,False,True,True,8,0.49375
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,2967.0,241.4,5.0,9.8,14.94,13.0,False,False,False,15,0.6533333333333334
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,1197.0,80.0,5.0,2.7,17.0,13.0,False,True,True,16,0.16875
Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,796.0,35.0,5.0,2.41,14.0,13.0,False,True,True,15,0.16066666666666668
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,1197.0,78.9,5.0,3.9,17.71,13.0,False,True,True,11,0.35454545454545455
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,2993.0,270.9,5.0,24.0,14.74,13.0,False,False,False,14,1.7142857142857142
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,2179.0,140.0,7.0,5.75,16.0,13.0,False,False,True,13,0.4423076923076923
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,1582.0,126.32,5.0,5.25,22.32,13.0,False,False,False,11,0.4772727272727273
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,2755.0,171.5,7.0,19.25,11.36,13.0,False,False,False,8,2.40625
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,1196.0,73.0,5.0,3.91,15.1,13.0,False,True,True,8,0.48875
Tata Nano Twist XT,Bangalore,2014,25500,First,624.0,37.5,4.0,2.15,25.4,13.0,False,True,True,11,0.19545454545454544
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,1995.0,190.0,5.0,20.75,22.69,13.0,False,False,False,10,2.075
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,1799.0,130.0,5.0,3.35,13.5,13.0,False,True,True,15,0.22333333333333333
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,2494.0,100.6,7.0,11.11,12.99,13.0,False,False,True,11,1.01
Volvo V40 Cross Country D3,Bangalore,2014,32700,First,1984.0,150.0,5.0,20.0,23.3,13.0,False,False,False,11,1.8181818181818181
Nissan Micra XV CVT,Coimbatore,2016,39882,First,1198.0,75.94,5.0,6.55,19.15,13.0,False,True,False,9,0.7277777777777777
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,2497.0,215.0,5.0,7.0,10.8,13.0,False,True,False,16,0.4375
Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,1248.0,88.5,5.0,7.5,24.3,13.0,False,False,True,9,0.8333333333333334
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,2143.0,107.3,5.0,16.75,15.0,13.0,False,False,False,11,1.5227272727272727
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,1582.0,126.2,5.0,10.95,22.0,13.0,False,False,True,7,1.5642857142857143
Maruti Wagon R LXI BS IV,Pune,2011,43874,First,998.0,67.1,5.0,2.45,18.9,13.0,False,True,True,14,0.17500000000000002
Tata Nano XTA,Coimbatore,2017,32684,First,624.0,37.48,4.0,3.23,21.9,13.0,False,True,False,8,0.40375
Mahindra Scorpio VLX,Kolkata,2014,42000,First,2179.0,120.0,8.0,7.75,12.05,13.0,False,False,True,11,0.7045454545454546
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,1796.0,178.0,5.0,9.35,11.7,13.0,False,True,False,16,0.584375
Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,2354.0,152.0,5.0,5.25,10.8,13.0,False,True,True,18,0.2916666666666667
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,1498.0,103.2,5.0,7.25,21.21,13.0,False,False,False,10,0.725
Maruti Ciaz VXi Plus,Kochi,2017,44285,First,1373.0,91.1,5.0,7.47,20.73,13.0,False,True,True,8,0.93375
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,2179.0,140.0,7.0,13.25,16.0,13.0,False,False,False,9,1.4722222222222223
Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,1197.0,85.8,5.0,5.81,21.1,13.0,False,True,True,9,0.6455555555555555
Maruti Alto K10 VXI,Hyderabad,2014,88500,First,998.0,67.1,5.0,2.6,24.07,13.0,False,True,True,11,0.23636363636363636
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,2996.0,362.07,2.0,54.0,19.0,13.0,False,True,False,8,6.75
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,1591.0,121.3,5.0,11.5,17.0,13.0,False,True,False,6,1.9166666666666667
Maruti Alto LXi BSIII,Chennai,2010,94385,Second,796.0,46.3,5.0,1.6,19.7,13.0,False,True,True,15,0.10666666666666667
BMW 1 Series 118d Base,Coimbatore,2015,31821,First,1995.0,143.0,5.0,17.22,20.58,13.0,False,False,False,10,1.722
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,1199.0,88.7,5.0,6.0,19.0,13.0,False,True,False,10,0.6
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,1799.0,130.0,5.0,3.95,13.5,13.0,False,True,True,13,0.3038461538461539
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,2143.0,170.0,5.0,17.95,19.27,13.0,False,False,False,11,1.6318181818181818
Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,1498.0,98.6,5.0,3.7,25.8,13.0,False,False,True,11,0.33636363636363636
Maruti Swift VVT VXI,Kochi,2016,34204,First,1197.0,81.8,5.0,5.43,22.0,13.0,False,True,True,9,0.6033333333333333
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,2982.0,171.0,7.0,13.49,11.5,13.0,False,False,True,13,1.0376923076923077
Chevrolet Beat LT Option,Pune,2014,38800,First,1199.0,76.8,5.0,2.85,18.6,13.0,False,True,True,11,0.2590909090909091
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,1498.0,103.52,5.0,4.75,21.14,13.0,False,False,True,12,0.3958333333333333
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,1373.0,91.1,5.0,9.9,20.73,13.0,False,True,True,7,1.4142857142857144
Audi RS5 Coupe,Mumbai,2013,23000,First,2894.0,444.0,4.0,37.0,11.05,13.0,False,True,False,12,3.0833333333333335
BMW 3 Series Luxury Line,Mumbai,2014,48000,First,1995.0,190.0,5.0,26.5,21.76,13.0,False,False,False,11,2.409090909090909
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,1968.0,174.33,5.0,23.32,17.11,13.0,False,False,False,10,2.332
Maruti Swift VDI,Chennai,2016,35000,First,1248.0,74.0,5.0,6.25,22.9,13.0,False,False,True,9,0.6944444444444444
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,5461.0,362.9,5.0,30.0,7.81,13.0,False,True,False,15,2.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,1498.0,103.52,5.0,9.86,21.66,13.0,False,False,False,9,1.0955555555555554
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,1968.0,138.1,5.0,8.5,17.2,13.0,False,False,False,13,0.6538461538461539
Hyundai EON Magna Plus,Kochi,2019,14322,First,814.0,55.2,5.0,4.23,21.1,13.0,False,True,True,6,0.7050000000000001
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,1199.0,73.9,5.0,3.5,22.07,13.0,False,False,True,13,0.2692307692307692
Datsun GO NXT,Kolkata,2016,6000,First,1198.0,67.06,5.0,2.5,20.63,13.0,False,True,True,9,0.2777777777777778
Honda Brio S MT,Kolkata,2013,33280,First,1198.0,86.8,5.0,2.39,19.4,13.0,False,True,True,12,0.1991666666666667
Mercedes-Benz B Class B180,Delhi,2013,29000,First,1595.0,120.7,5.0,11.25,14.8,13.0,False,True,False,12,0.9375
Honda City i DTEC V,Kochi,2015,42831,First,1498.0,98.6,5.0,7.11,26.0,13.0,False,False,True,10,0.7110000000000001
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,2494.0,100.6,7.0,10.9,12.99,13.0,False,False,True,9,1.2111111111111112
Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,1197.0,81.8,5.0,6.2,20.4,13.0,False,True,True,8,0.775
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,2179.0,140.0,7.0,7.9,15.1,13.0,False,False,True,13,0.6076923076923078
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,1498.0,89.84,5.0,4.42,22.7,13.0,False,False,True,11,0.4018181818181818
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,2982.0,168.5,7.0,13.5,13.0,13.0,False,False,True,13,1.0384615384615385
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,1498.0,108.5,5.0,6.25,21.5,13.0,False,False,False,12,0.5208333333333334
Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,1399.0,68.0,5.0,2.1,20.0,13.0,False,False,True,15,0.14
BMW X5 xDrive 30d,Mumbai,2015,41000,First,2993.0,258.0,5.0,45.0,15.3,13.0,False,False,False,10,4.5
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,2143.0,167.62,5.0,33.66,19.27,13.0,False,False,False,8,4.2075
Honda Brio V MT,Bangalore,2012,45000,Second,1198.0,86.8,5.0,3.65,19.4,13.0,False,True,True,13,0.28076923076923077
Hyundai i10 Magna 1.2,Delhi,2013,60000,First,1197.0,78.9,5.0,2.75,20.36,13.0,False,True,True,12,0.22916666666666666
Mercedes-Benz GLC 220,Bangalore,2016,44414,First,2143.0,170.0,5.0,42.5,17.9,13.0,False,False,False,9,4.722222222222222
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,1197.0,81.86,5.0,6.5,18.9,13.0,False,True,True,6,1.0833333333333333
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,1968.0,174.33,5.0,19.0,17.68,13.0,False,False,False,13,1.4615384615384615
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,1598.0,103.6,5.0,4.45,14.4,13.0,False,True,False,12,0.37083333333333335
Mini Countryman Cooper D,Jaipur,2017,8525,Second,1998.0,112.0,5.0,23.0,16.6,13.0,False,False,False,8,2.875
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,1396.0,88.73,5.0,8.35,22.54,13.0,False,False,True,11,0.759090909090909
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,1968.0,174.33,5.0,22.95,17.68,13.0,False,False,False,11,2.0863636363636364
Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,936.0,57.6,5.0,1.5,25.44,13.0,False,False,True,13,0.11538461538461539
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,1798.0,157.75,5.0,6.89,13.7,13.0,False,True,False,13,0.53
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,1399.0,68.0,5.0,1.45,17.8,13.0,False,False,True,19,0.07631578947368421
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,1995.0,190.0,5.0,33.5,22.48,13.0,False,False,False,11,3.0454545454545454
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,1598.0,102.5,5.0,1.25,12.9,13.0,False,True,True,18,0.06944444444444445
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,1199.0,73.9,5.0,4.2,22.07,13.0,False,False,True,13,0.3230769230769231
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,1461.0,108.5,8.0,6.75,19.98,13.0,False,False,True,10,0.675
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,First,2143.0,201.1,5.0,32.0,13.0,13.0,False,False,False,11,2.909090909090909
Maruti Baleno Alpha,Kochi,2017,24773,First,1197.0,83.1,5.0,7.5,21.4,13.0,False,True,True,8,0.9375
Hyundai Verna 1.6 SX,Delhi,2012,62000,First,1582.0,126.32,5.0,4.6,22.32,13.0,False,False,True,13,0.3538461538461538
Hyundai i10 Magna 1.1,Kochi,2017,52340,First,1086.0,68.05,5.0,4.04,19.81,13.0,False,True,True,8,0.505
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,First,1997.0,120.0,7.0,10.31,15.4,13.0,False,False,True,9,1.1455555555555557
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,First,2179.0,187.7,5.0,55.76,12.7,13.0,False,False,False,7,7.965714285714285
Ford Figo Diesel ZXI,Chennai,2010,120000,First,1399.0,68.0,5.0,2.6,20.0,13.0,False,False,True,15,0.17333333333333334
Maruti Ertiga ZDI,Mumbai,2016,33000,First,1248.0,88.5,7.0,8.5,25.47,13.0,False,False,True,9,0.9444444444444444
Honda City 1.5 GXI,Ahmedabad,2007,60006,First,1497.0,98.6,5.0,2.95,0.0,13.0,False,True,True,18,0.1638888888888889
Honda Amaze S i-Dtech,Kolkata,2014,52000,First,1498.0,98.6,5.0,3.5,25.8,13.0,False,False,True,11,0.3181818181818182
Hyundai i10 Magna,Jaipur,2015,43571,First,1197.0,78.9,5.0,3.55,20.36,13.0,False,True,True,10,0.355
